source_file,model,num_samples,seq_len,batch_size,layers,op_types,experiment,layer,variant,param,recall_mean,recall_P50,recall_P90,recall_P99,recall_weighted_mean,new_mass_ratio_mean,num_pairs,replacement_mean,replacement_P90,replacement_P99,H_size,recall_P10,recall_P25,recall_min,hot_value_ratio,residual_K,gini,num_ever_active,sublibrary_size_mean,sublibrary_ratio,cross_route_recall,cross_route_gap,cluster_size_mean,cluster_size_min,cluster_size_max,candidate_size_mean,candidate_ratio_mean,actual_seed_count_mean,recall_train_table,cv_gap
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topK,m=128,1.0,1.0,1.0,1.0,1.0,0.639426589012146,1308160,94.79856057363014,113.0,121.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topL_1.5,m=0,0.3104125259907045,0.3046875,0.484375,0.625,0.4020434319972992,0.5979565978050232,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topL_2.0,m=0,0.349947934981195,0.34375,0.546875,0.6875,0.4335950016975403,0.5664050579071045,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,union2,m=0,0.32175154415362034,0.3203125,0.484375,0.6015625,0.4204210638999939,0.5795789361000061,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topK,m=0,0.3711317148227281,0.3671875,0.5390625,0.671875,0.493294358253479,0.506705641746521,1308160,80.4951405026908,102.0,116.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topK,m=4,0.4023813564950006,0.3984375,0.5703125,0.703125,0.5486032962799072,0.506705641746521,1308160,80.4951405026908,102.0,116.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topK,m=8,0.43363099816727313,0.4296875,0.6015625,0.734375,0.5864863395690918,0.506705641746521,1308160,80.4951405026908,102.0,116.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topK,m=16,0.49613019790201507,0.4921875,0.6640625,0.796875,0.6485926508903503,0.506705641746521,1308160,80.4951405026908,102.0,116.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topK,m=32,0.6210994354666096,0.6171875,0.7890625,0.921875,0.7512785792350769,0.506705641746521,1308160,80.4951405026908,102.0,116.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topK,m=64,0.8599917357681782,0.8671875,1.0,1.0,0.914787769317627,0.506705641746521,1308160,80.4951405026908,102.0,116.0,,,,,,,,,,,,,,,,,,,,
